snap,sim,lo,hi,status,ot_reliable,x10,n_halos,n_used_dmo,n_used_hyd,n_empty_dmo,n_empty_hyd,npart_dmo_med,npart_hyd_med,sec
9,fgas+2sigma,10.0,10.125,ok,False,3.1016,259,96,239,61,1,0,3,0.2
9,fgas+2sigma,10.125,10.25,ok,False,2.8192,109,39,103,73,14,0,3,0.1
9,fgas+2sigma,10.25,10.375,ok,False,2.6591,766,309,716,14,0,0,3,0.2
9,fgas+2sigma,10.375,10.5,ok,False,2.4037,1000,432,918,8,0,0,3,0.2
9,fgas+2sigma,10.5,10.625,ok,False,2.1442,1000,457,921,2,0,0,3,0.2
9,fgas+2sigma,10.625,10.75,ok,False,1.9434,1000,520,934,2,0,1,3,0.2
9,fgas+2sigma,10.75,10.875,ok,False,1.7771,1000,579,915,1,0,1,3,0.2
9,fgas+2sigma,10.875,11.0,ok,False,1.6053,1000,589,937,1,0,1,3,0.2
9,fgas+2sigma,11.0,11.125,ok,False,1.4591,1000,628,959,2,0,1,3,0.2
9,fgas+2sigma,11.125,11.25,ok,False,1.3257,1000,719,941,2,0,1,3,0.2
9,fgas+2sigma,11.25,11.375,ok,False,1.2146,1000,751,974,0,0,1,4,0.2
9,fgas+2sigma,11.375,11.5,ok,False,1.1099,1000,825,997,0,0,2,5,0.2
9,fgas+2sigma,11.5,11.625,ok,False,1.0104,1000,914,1000,0,0,2,6,0.2
9,fgas+2sigma,11.625,11.75,ok,False,0.9180,1000,946,1000,0,0,3,8,0.2
9,fgas+2sigma,11.75,11.875,ok,False,0.8319,1000,982,1000,0,0,4,10,0.2
9,fgas+2sigma,11.875,12.0,ok,False,0.7586,1000,996,1000,0,0,5,13,0.2
9,fgas+2sigma,12.0,12.125,ok,False,0.6888,1000,998,1000,0,0,7,17,0.2
9,fgas+2sigma,12.125,12.25,ok,False,0.6265,1000,999,1000,0,0,9,23,0.2
9,fgas+2sigma,12.25,12.375,ok,False,0.5702,1000,1000,1000,0,0,12,29,0.2
9,fgas+2sigma,12.375,12.5,ok,False,0.5178,1000,1000,1000,0,0,16,39,0.2
9,fgas+2sigma,12.5,12.625,ok,False,0.4713,458,458,458,0,0,21,50,0.2
9,fgas+2sigma,12.625,12.75,ok,False,0.4284,169,169,169,0,0,28,65,0.1
9,fgas+2sigma,12.75,12.875,ok,False,0.3910,71,71,71,0,0,36,88,0.1
9,fgas+2sigma,12.875,13.0,ok,False,0.3576,20,20,20,3,0,49,108,0.0
9,fgas+2sigma,13.0,13.125,no_halos,False,nan,0,0,0,0,0,0,0,0.0
9,fgas+2sigma,13.125,13.25,ok,False,0.2950,2,2,2,27,15,93,183,0.0
9,fgas+2sigma,13.25,13.375,ok,False,0.2601,1,1,1,42,21,120,277,0.0
