snap,sim,lo,hi,status,ot_reliable,x10,n_halos,n_used_dmo,n_used_hyd,n_empty_dmo,n_empty_hyd,npart_dmo_med,npart_hyd_med,sec
9,fgas+2sigma,10.0,10.125,ok,False,3.1016,259,96,239,61,1,0,3,0.2
9,fgas+2sigma,10.125,10.25,ok,False,2.8192,109,39,103,73,14,0,3,0.1
9,fgas+2sigma,10.25,10.375,ok,False,2.6591,766,309,716,14,0,0,3,0.2
9,fgas+2sigma,10.375,10.5,ok,False,2.4069,1457,648,1331,2,0,0,2,0.3
9,fgas+2sigma,10.5,10.625,ok,False,2.1416,3198,1512,2939,0,0,0,3,0.4
9,fgas+2sigma,10.625,10.75,ok,False,1.9455,6387,3324,5883,0,0,1,3,0.6
9,fgas+2sigma,10.75,10.875,ok,False,1.7736,10000,5790,9256,0,0,1,3,0.8
9,fgas+2sigma,10.875,11.0,ok,False,1.6053,10000,6120,9394,0,0,1,3,0.9
9,fgas+2sigma,11.0,11.125,ok,False,1.4615,10000,6596,9452,0,0,1,3,0.9
9,fgas+2sigma,11.125,11.25,ok,False,1.3296,10000,7048,9559,0,0,1,3,0.9
9,fgas+2sigma,11.25,11.375,ok,False,1.2146,10000,7590,9692,0,0,1,4,0.9
9,fgas+2sigma,11.375,11.5,ok,False,1.1112,10000,8305,9970,0,0,2,5,1.0
9,fgas+2sigma,11.5,11.625,ok,False,1.0104,10000,9022,10000,0,0,2,6,1.1
9,fgas+2sigma,11.625,11.75,ok,False,0.9180,10000,9545,10000,0,0,3,8,1.0
9,fgas+2sigma,11.75,11.875,ok,False,0.8349,10000,9797,10000,0,0,4,10,1.0
9,fgas+2sigma,11.875,12.0,ok,False,0.7586,10000,9935,10000,0,0,5,13,1.0
9,fgas+2sigma,12.0,12.125,ok,False,0.6899,10000,9982,10000,0,0,7,17,1.0
9,fgas+2sigma,12.125,12.25,ok,False,0.6273,5267,5266,5267,0,0,9,22,0.7
9,fgas+2sigma,12.25,12.375,ok,False,0.5702,2619,2619,2619,0,0,12,29,0.4
9,fgas+2sigma,12.375,12.5,ok,False,0.5178,1220,1220,1220,0,0,16,39,0.3
9,fgas+2sigma,12.5,12.625,ok,False,0.4713,458,458,458,0,0,21,50,0.2
9,fgas+2sigma,12.625,12.75,ok,False,0.4284,169,169,169,0,0,28,65,0.2
9,fgas+2sigma,12.75,12.875,ok,False,0.3910,71,71,71,0,0,36,88,0.1
9,fgas+2sigma,12.875,13.0,ok,False,0.3576,20,20,20,3,0,49,108,0.0
9,fgas+2sigma,13.0,13.125,no_halos,False,nan,0,0,0,0,0,0,0,0.0
9,fgas+2sigma,13.125,13.25,ok,False,0.2950,2,2,2,27,15,93,183,0.0
